Code,Plan Partners Initial Description,Updated Description
04_139_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_140_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_140_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_141_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_141_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_142_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_142_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_143_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_143_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_144_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_144_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_145_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_145_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_146_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_146_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_147_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_147_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_148_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_148_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_149_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_149_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_150_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_150_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_151_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_151_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_152_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_152_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_153_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_153_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_154_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_154_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_155_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_155_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in the community, in circumstances where a more skilled or experienced support worker is required."
04_160_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per participant.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_160_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per participant. This linei tem can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_161_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per participant.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_161_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per participant. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_162_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per participant.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_162_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per participant. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_163_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per participant.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_163_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per participant. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_164_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per participant.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_164_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per participant. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_165_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_165_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants.  This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_166_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_166_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_167_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_167_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_168_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_168_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_169_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_169_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_170_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_170_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_171_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_171_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_172_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_172_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_173_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_173_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_174_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_174_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_175_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per four participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_175_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_176_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per four participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_176_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_177_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per four participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_177_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_178_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per four participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_178_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_179_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_179_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_180_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_180_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_181_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_181_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_182_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_182_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_183_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_183_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_184_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_184_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in a centre."
04_185_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per participant.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_185_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per participant. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_186_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per participant.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_186_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per participant. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_187_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per participant.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
